TC;fγf;fγi;fα'i;fα'fr;Cγ;Cα'
129;0.0737275309467777;0.0737275309467777;0.9262724690532222;0;3.707671613106355;0.00765275373933454
129.5;0.0740771183946316;0.0740771183946316;0.9259228816053684;0;3.6896365160344198;0.0075420888132150645
130;0.07442853064707165;0.07442853064707165;0.9255714693529283;0;3.6716611563764947;0.007433120447963933
130.5;0.07478177930010844;0.07478177930010844;0.9252182206998916;0;3.6537458977878523;0.007325824218298558
131;0.0751368759963365;0.0751368759963365;0.9248631240036636;0;3.6358910909045674;0.0072201759385356855
131.5;0.07549383242515148;0.07549383242515148;0.9245061675748485;0;3.618097073513059;0.007116151665069209
132;0.07585266032297962;0.07585266032297962;0.9241473396770203;0;3.6003641707215497;0.007013727698612856
132.5;0.07621337147351902;0.07621337147351902;0.923786628526481;0;3.5826926951332423;0.006912880586216022
133;0.0765759777079928;0.0765759777079928;0.9234240222920072;0;3.5650829470209837;0.006813587123057898
133.5;0.07694049090541329;0.07694049090541329;0.9230595090945867;0;3.547535214503259;0.006715824354029305
134;0.07730692299285749;0.07730692299285749;0.9226930770071425;0;3.530049773721289;0.006619569575106873
134.5;0.07767528594575293;0.07767528594575293;0.9223247140542471;0;3.5126268890170778;0.006524800334528687
135;0.07804559178817426;0.07804559178817426;0.9219544082118257;0;3.4952668131122326;0.006431494433775705
135.5;0.07841785259314965;0.07841785259314965;0.9215821474068504;0;3.477969787287353;0.0063396299283688205
136;0.07879208048297714;0.07879208048297714;0.9212079195170229;0;3.460736041561875;0.006249185128485593
136.5;0.07916828762955053;0.07916828762955053;0.9208317123704495;0;3.443565794874184;0.0061601385994047575
137;0.07954648625469429;0.07954648625469429;0.9204535137453057;0;3.4264592552618525;0.00607246916178409
137.5;0.07992668863050774;0.07992668863050774;0.9200733113694922;0;3.409416620041866;0.0059861558917795364
138;0.08030890707971745;0.08030890707971745;0.9196910929202825;0;3.392438075990692;0.005901178121010496
138.5;0.08069315397603846;0.08069315397603846;0.9193068460239615;0;3.3755237995240646;0.005817515436377612
139;0.08107944174454335;0.08107944174454335;0.9189205582554567;0;3.358673956876357;0.005735147679740514
139.5;0.08146778286203918;0.08146778286203918;0.9185322171379608;0;3.3418887042794374;0.005654054947459817
140;0.08185818985745225;0.08185818985745225;0.9181418101425478;0;3.325168188140857;0.0055742175898103605
140.5;0.08225067531221983;0.08225067531221983;0.9177493246877801;0;3.308512545221314;0.0054956162102716396
141;0.08264525186068955;0.08264525186068955;0.9173547481393105;0;3.2919219028112465;0.005418231664699082
141.5;0.08304193219052498;0.08304193219052498;0.916958067809475;0;3.2753963789064886;0.0053420450603848665
142;0.08344072904311835;0.08344072904311835;0.9165592709568816;0;3.2589360823828746;0.005267037755011074
142.5;0.08384165521400956;0.08384165521400956;0.9161583447859905;0;3.2425411131697195;0.005193191355501144
143;0.0842447235533113;0.0842447235533113;0.9157552764466887;0;3.226211562422093;0.005120487716775592
143.5;0.08464994696614013;0.08464994696614013;0.9153500530338599;0;3.2099475126918007;0.0050489089404154594
144;0.08505733841305355;0.08505733841305355;0.9149426615869465;0;3.1937490380970117;0.004978437373240182
144.5;0.08546691091049224;0.08546691091049224;0.9145330890895078;0;3.177616204490461;0.004909055605802608
145;0.0858786775312282;0.0858786775312282;0.9141213224687718;0;3.161549069626155;0.004840746470807617
145.5;0.08629265140481748;0.08629265140481748;0.9137073485951825;0;3.1455476833245477;0.004773493041457286
146;0.08670884571805834;0.08670884571805834;0.9132911542819416;0;3.129612087636091;0.004707278629727969
146.5;0.08712727371545419;0.08712727371545419;0.9128727262845459;0;3.1137423170031555;0.004642086784582846
147;0.08754794869968091;0.08754794869968091;0.9124520513003191;0;3.0979383984202316;0.0045779012901246904
147.5;0.08797088403205898;0.08797088403205898;0.912029115967941;0;3.0822003515924097;0.004514706163691803
148;0.08839609313302968;0.08839609313302968;0.9116039068669703;0;3.066528189092062;0.004452485653901753
148.5;0.08882358948263575;0.08882358948263575;0.9111764105173643;0;3.0509219165137145;0.004391224238646378
149;0.08925338662100572;0.08925338662100572;0.9107466133789943;0;3.0353815326270674;0.0043309066230416
149.5;0.08968549814884241;0.08968549814884241;0.9103145018511576;0;3.0199070295281474;0.004271517737335039
150;0.09011993772791509;0.09011993772791509;0.909880062272085;0;3.004498392788535;0.004213042734775954
150.5;0.0905567190815552;0.0905567190815552;0.9094432809184448;0;2.9891556016026835;0.0041554669894486905
151;0.09099585599515564;0.09099585599515564;0.9090041440048444;0;2.973878628933278;0.004098776094075334
151.5;0.09143736231667345;0.09143736231667345;0.9085626376833266;0;2.958667441654633;0.004042955857787999
152;0.09188125195713572;0.09188125195713572;0.9081187480428643;0;2.9435220006941094;0.00398799230387494
152.5;0.09232753889114846;0.09232753889114846;0.9076724611088516;0;2.9284422611715346;0.003933871667504016
153;0.09277623715740899;0.09277623715740899;0.907223762842591;0;2.913428172536626;0.003880580393423355
153.5;0.09322736085922063;0.09322736085922063;0.9067726391407793;0;2.8984796787043923;0.0038281051336454307
154;0.09368092416501098;0.09368092416501098;0.906319075834989;0;2.883596718188527;0.00377643274511329
154.5;0.0941369413088522;0.0941369413088522;0.9058630586911478;0;2.868779224232783;0.00372555028735442
155;0.09459542659098458;0.09459542659098458;0.9054045734090155;0;2.854027124940308;0.0036754450201224634
155.5;0.09505639437834228;0.09505639437834228;0.9049436056216578;0;2.8393403434009783;0.0036261044010296754
156;0.09551985910508198;0.09551985910508198;0.904480140894918;0;2.824718797816695;0.0035775160831719166
156.5;0.09598583527311351;0.09598583527311351;0.9040141647268864;0;2.8101624016246762;0.003529667912748322
157;0.0964543374526332;0.0964543374526332;0.9035456625473668;0;2.795671063618726;0.0034825479266776546
157.5;0.09692538028265942;0.09692538028265942;0.9030746197173406;0;2.781244688068505;0.003436144350212181
158;0.0973989784715704;0.0973989784715704;0.9026010215284296;0;2.7668831748367984;0.0033904455945524513
158.5;0.09787514679764417;0.09787514679764417;0.9021248532023558;0;2.7525864194948007;0.0033454402544627585
159;0.09835390010960068;0.09835390010960068;0.9016460998903993;0;2.7383543134354174;0.0033011171058898838
159.5;0.09883525332714609;0.09883525332714609;0.901164746672854;0;2.7241867439846006;0.0032574651035865198
160;0.09931922144151888;0.09931922144151888;0.9006807785584812;0;2.7100835945107384;0.0032144733787402343
160.5;0.09980581951603815;0.09980581951603815;0.9001941804839618;0;2.696044744532091;0.003172131236610343
161;0.10029506268665378;0.10029506268665378;0.8997049373133462;0;2.682070069822318;0.0031304281541718404
161.5;0.1007869661624986;0.1007869661624986;0.8992130338375014;0;2.6681594425140798;0.003089353777770172
162;0.1012815452264423;0.1012815452264423;0.8987184547735577;0;2.6543127312007564;0.003048897920786336
162.5;0.1017788152356472;0.1017788152356472;0.8982211847643528;0;2.6405298010362905;0.0030090505613132885
163;0.10227879162212622;0.10227879162212622;0.8977212083778738;0;2.6268105138331586;0.0029698018398455137
163.5;0.10278148989330194;0.10278148989330194;0.8972185101066981;0;2.6131547281585257;0.0029311420569820413
164;0.10328692563256792;0.10328692563256792;0.8967130743674321;0;2.599562299428558;0.0028930616711441417
