# C:\WinTA100\DIL805.PRO\Data\Quenching\1_fofo_Q&P_PT170-QT300-15min_heating50oCs-1_11.13.15.PAR
#                Time - Temperature  /  Change in Length  /  Nominal Temperature 
#                  s                °C                    µm                    °C
   230        11.53585052      115.28024292        9.28936958      115.34645844
   231        11.58600903      115.85084534        9.43770218      115.84816742
   232        11.63611889      116.49792480        9.55425072      116.34922028
   233        11.68628979      116.89048767        9.71582794      116.85085297
   234        11.73643875      117.53430939        9.73171997      117.35247803
   235        11.78658772      118.07074738        9.80323792      117.85391998
   236        11.83671570      118.14372253        9.79529190      118.35514832
   237        11.88687611      118.83281708        9.81118393      118.85695648
   238        11.93705845      119.25277710        9.82972527      119.35858917
   239        11.98719501      119.93354797        9.84296989      119.86006165
   240        12.03736019      120.30502319        9.90389252      120.36177826
   241        12.08757305      121.04128265        9.94362450      120.86380005
   242        12.13771820      121.35355377        9.97805977      121.36529541
   243        12.18787956      121.87762451       10.13169098      121.86685181
   244        12.23806381      122.61859894       10.28532028      122.36845398
   245        12.28816032      122.93499756       10.41511345      122.86965942
   246        12.33831692      123.37265778       10.48133278      123.37123108
   247        12.38848209      123.81595612       10.55814743      123.87284088
   248        12.43863678      124.47980499       10.53960609      124.37445831
   249        12.48879528      124.84243774       10.62966537      124.87602234
   250        12.53899097      125.29729462       10.61377335      125.37794495
   251        12.58914661      125.80312347       10.58463669      125.87960815
   252        12.63928032      126.34668732       10.64555931      126.38076019
   253        12.68942547      126.97624969       10.68529129      126.88233185
   254        12.73957634      127.57273865       10.78859520      127.38384247
   255        12.78971672      127.82371521       10.91308784      127.88504028
   256        12.83984280      128.35667419       11.01904106      128.38650513
   257        12.88998985      129.05058289       11.15942764      128.88793945
   258        12.94011879      129.25885010       11.23889160      129.38916016
   259        12.99022579      129.73007202       11.36073685      129.89045715
   260        13.04035282      130.39111328       11.42165947      130.39164734
   261        13.09047413      130.77064514       11.38457680      130.89268494
   262        13.14061165      131.56880188       11.38192749      131.39425659
   263        13.19071770      131.61169434       11.38457680      131.89526367
   264        13.24091530      132.47024536       11.39252281      132.39707947
   265        13.29106331      132.96697998       11.40576744      132.89877319
   266        13.34128761      133.43428040       11.45079613      133.40093994
   267        13.39140034      134.00097656       11.58853531      133.90209961
   268        13.44153976      134.34719849       11.68124199      134.40356445
   269        13.49166679      134.88026428       11.80573654      134.90467834
   270        13.54179668      135.47482300       11.94612312      135.40615845
   271        13.59197807      135.91026306       11.99645042      135.90794373
   272        13.64215374      136.42826843       12.08915901      136.40963745
   273        13.69232368      136.96536255       12.13418961      136.91130066
   274        13.74247169      137.43441772       12.15538025      137.41270447
   275        13.79272747      137.91549683       12.15008163      137.91525269
   276        13.84287262      138.44548035       12.14478493      138.41674805
   277        13.89300919      138.77961731       12.15008163      138.91821289
   278        13.94314289      139.34065247       12.18716431      139.41950989
   279        13.99328423      140.04026794       12.26927757      139.92083740
   280        14.04347420      140.62408447       12.35139084      140.42263794
   281        14.09365368      141.02220154       12.51826668      140.92459106
   282        14.14377975      141.37129211       12.61627197      141.42588806
   283        14.19392204      141.74884033       12.72752190      141.92727661
   284        14.24409008      142.36471558       12.87320709      142.42895508
   285        14.29422092      142.94636536       12.87320709      142.93028259
   286        14.34439373      143.36579895       12.91293907      143.43200684
   287        14.39453220      144.01341248       12.88909912      143.93341064
   288        14.44464684      144.69934082       12.97650909      144.43452454
   289        14.49489403      145.23141479       12.94472504      144.93699646
   290        14.54504299      145.45326233       12.89704514      145.43861389
   291        14.59514904      145.84561157       13.04802704      145.93946838
   292        14.64525509      146.35647583       13.06392097      146.44067383
   293        14.69547081      147.12638855       13.18576622      146.94274902
   294        14.74563694      147.47785950       13.32350349      147.44427490
   295        14.79582405      147.95135498       13.46124077      147.94628906
   296        14.84594631      148.56500244       13.57778931      148.44754028
   297        14.89610863      148.95146179       13.65725327      148.94909668
   298        14.94626904      149.46484375       13.72612190      149.45077515
   299        14.99639511      150.01452637       13.79499245      149.95202637
   300        15.04658127      150.39840698       13.75525856      150.45370483
   301        15.09672928      151.12390137       13.73671722      150.95527649
   302        15.14685917      151.42396545       13.73936653      151.45666504
   303        15.19700241      151.80801392       13.77115250      151.95811462
   304        15.24715710      152.41035461       13.88505173      152.45960999
   305        15.29734707      152.97932434       13.99100304      152.96145630
   306        15.34749317      153.36618042       14.09430504      153.46299744
   307        15.39763165      153.97077942       14.23999214      153.96427917
   308        15.44777870      154.56376648       14.32740211      154.46572876
   309        15.49800110      155.07917786       14.42011070      154.96807861
   310        15.54813194      155.39442444       14.42540932      155.46939087
   311        15.59833622      155.91952515       14.47838402      155.97154236
   312        15.64848423      156.41154480       14.47573662      156.47282410
   313        15.69862747      156.82438660       14.52341270      156.97442627
   314        15.74877167      157.62133789       14.40951347      157.47586060
   315        15.79892540      157.87658691       14.47308540      157.97732544
   316        15.84907913      158.42303467       14.51546669      158.47879028
   317        15.89924717      158.96733093       14.63201332      158.98052979
   318        15.94942665      159.24624634       14.75121117      159.48236084
   319        15.99955368      160.05627441       14.93397713      159.98353577
   320        16.04971695      160.50228882       15.03198433      160.48529053
   321        16.09988785      160.93876648       15.12999153      160.98701477
   322        16.15008736      161.59344482       15.23329353      161.48896790
   323        16.20023155      161.96977234       15.25978279      161.99037170
   324        16.25037193      162.71620178       15.29951286      162.49169922
   325        16.30048752      162.98072815       15.30481148      162.99288940
   326        16.35061836      163.55838013       15.35249138      163.49423218
   327        16.40078735      164.12261963       15.28627205      163.99583435
   328        16.45100212      164.46893311       15.33394814      164.49812317
   329        16.50116348      164.95462036       15.44254875      164.99967957
   330        16.55132675      165.50126648       15.45314598      165.50132751
   331        16.60148048      165.90866089       15.58028984      166.00296021
   332        16.65164948      166.68043518       15.69153786      166.50457764
   333        16.70176506      167.11959839       15.87430763      167.00561523
   334        16.75193787      167.40904236       15.96966362      167.50744629
   335        16.80211449      167.98397827       16.02528954      168.00920105
   336        16.85221481      168.50054932       16.04382896      168.51020813
   337        16.90232849      169.20051575       16.04118156      169.01135254
   338        16.95246696      169.74462891       16.07826424      169.51263428
   339        17.00261688      170.05976868       16.06766701      170.01420593
   340        17.05379677      170.52980042       16.22394753      170.52613831
   341        17.10398102      171.11044312       16.16567421      171.02780151
   342        17.15411377      171.82901001       16.25308418      171.52923584
   343        17.20432663      172.21093750       16.31135750      172.03131104
   344        17.25447273      172.51855469       16.46499062      172.53262329
   345        17.30463219      173.00978088       16.52591133      173.03439331
   346        17.35470772      173.54838562       16.63716316      173.53514099
   347        17.40480995      173.77394104       16.77754784      174.03607178
   348        17.45492172      174.56481934       16.87820244      174.53729248
   349        17.50508118      175.05300903       16.92852974      175.03889465
   350        17.55518532      175.65660095       16.88879967      175.53985596
   351        17.60528374      175.95364380       16.91793633      176.04095459
   352        17.65546036      176.62545776       16.96826363      176.54266357
   353        17.70557022      177.06958008       16.94442558      177.04373169
   354        17.75573921      177.65148926       16.92852974      177.54544067
   355        17.80587578      177.99850464       17.06097221      178.04679871
   356        17.85603714      178.64421082       17.14573479      178.54833984
   357        17.90618134      178.98623657       17.28877068      179.04998779
   358        17.95633125      179.41970825       17.41856194      179.55131531
   359        18.00648117      179.96911621       17.48742867      180.05296326
   360        18.05654907      180.53784180       17.63311577      180.55361938
   361        18.10666847      181.11354065       17.63311577      181.05480957
   362        18.15682793      181.39657593       17.68344307      181.55645752
   363        18.20701408      182.05833435       17.71522713      182.05819702
   364        18.25709534      182.42060852       17.69403648      182.55902100
   365        18.30723000      182.92979431       17.69403648      183.06037903
   366        18.35741997      183.52706909       17.81323433      183.56224060
   367        18.40761566      184.07356262       17.85031700      184.06419373
   368        18.45783043      184.74813843       17.87150764      184.56642151
   369        18.50793648      185.24227905       18.02778816      185.06744385
   370        18.55809784      185.61465454       18.15757942      185.56901550
   371        18.60823059      186.20185852       18.31650734      186.07037354
   372        18.65835571      186.47406006       18.39067268      186.57164001
   373        18.70850182      186.99940491       18.36153603      187.07308960
   374        18.75871849      187.51829529       18.48073387      187.57528687
   375        18.80884552      188.12641907       18.45954323      188.07644653
   376        18.85898590      188.43206787       18.47278786      188.57797241
   377        18.90913200      189.05993652       18.40391731      189.07945251
   378        18.95929337      189.25791931       18.51781654      189.58100891
   379        19.00946426      190.18049622       18.56019783      190.08262634
   380        19.05966187      190.52731323       18.65290642      190.58470154
   381        19.10979271      191.12237549       18.69528770      191.08587646
   382        19.15994835      191.59638977       18.83302498      191.58749390
   383        19.21014023      192.15859985       19.02638817      192.08947754
   384        19.26032257      192.65451050       19.09260750      192.59126282
   385        19.31045723      193.14122009       19.18266869      193.09265137
   386        19.36062431      193.49308777       19.31775475      193.59437561
   387        19.41080856      194.14387512       19.30980873      194.09609985
   388        19.46097374      194.58767700       19.31510735      194.59785461
   389        19.51112938      195.01005554       19.35219002      195.09930420
   390        19.56125450      195.63655090       19.32040596      195.60064697
   391        19.61139297      195.98011780       19.35748863      196.10200500
   392        19.66153908      196.48977661       19.45019722      196.60340881
   393        19.71165466      197.17352295       19.43430519      197.10464478
   394        19.76175880      197.65126038       19.61707115      197.60559082
   395        19.81191635      198.04724121       19.78394508      198.10733032
   396        19.86210823      198.60691833       19.84486961      198.60919189
   397        19.91222191      199.05368042       19.93492699      199.11033630
   398        19.96233749      199.78059387       20.08061409      199.61138916
   399        20.01250267      200.05805969       20.07001686      200.11306763
   400        20.06261444      200.72317505       20.05677223      200.61428833
   401        20.11267471      201.15563965       20.13623619      201.11473083
   402        20.16288185      201.47406006       20.09915352      201.61691284
   403        20.21295547      202.15840149       20.13888741      202.11770630
   404        20.26309967      202.44737244       20.13888741      202.61903381
   405        20.31317139      203.09930420       20.24484062      203.11968994
   406        20.36332893      203.58943176       20.44085121      203.62136841
   407        20.41348839      204.30557251       20.56534386      204.12292480
   408        20.46362877      204.49972534       20.60772514      204.62425232
   409        20.51379776      205.21672058       20.72692299      205.12605286
   410        20.56393242      205.65223694       20.90704155      205.62731934
   411        20.61406326      206.05694580       20.88585091      206.12867737
   412        20.66418076      206.65237427       20.93617821      206.62992859
   413        20.71439743      207.09867859       20.93882561      207.13211060
   414        20.76465607      207.59278870       20.98385811      207.63385010
   415        20.81483650      208.30290222       20.96531487      208.13629150
   416        20.86499023      208.67127991       21.06861687      208.63796997
   417        20.91519928      209.21794128       21.05272484      209.14007568
   418        20.96535110      209.63937378       21.16927147      209.64160156
   419        21.01554680      210.33116150       21.31230736      210.14356995
   420        21.06575966      210.72135925       21.46064186      210.64544678
   421        21.11589622      211.13154602       21.60897636      211.14698792
   422        21.16608810      211.62437439       21.69373512      211.64895630
   423        21.21623611      211.94610596       21.72552299      212.15040588
   424        21.26642227      212.73803711       21.82882500      212.65228271
   425        21.31656647      213.07696533       21.85531425      213.15371704
   426        21.36675835      213.57124329       21.82353020      213.65576172
   427        21.41693306      214.07231140       21.84736824      214.15737915
   428        21.46708679      214.56103516       21.79704094      214.65881348
   429        21.51721764      215.19534302       21.95332146      215.16029358
   430        21.56735802      215.65727234       22.01688957      215.66162109
   431        21.61747360      216.15634155       22.04337883      216.16275024
   432        21.66768265      216.79045105       22.20230675      216.66488647
   433        21.71779823      217.25682068       22.31620598      217.16606140
   434        21.76790619      217.72912598       22.43805122      217.66705322
   435        21.81807709      218.07737732       22.55724907      218.16882324
   436        21.86823273      218.57176208       22.59963036      218.67028809
   437        21.91839981      219.19630432       22.63141441      219.17196655
   438        21.96853447      219.65994263       22.73736763      219.67355347
   439        22.01874352      220.21305847       22.63141441      220.17555237
   440        22.06885910      220.75459290       22.63141441      220.67655945
   441        22.11900330      221.27519226       22.72412300      221.17825317
   442        22.16916084      221.47891235       22.76120567      221.67968750
   443        22.21933556      222.07243347       22.90159416      222.18136597
   444        22.26949883      222.73538208       23.01549339      222.68302917
   445        22.31964493      223.08865356       23.14263344      223.18437195
   446        22.36976242      223.74147034       23.24328804      223.68568420
   447        22.41987228      224.00654602       23.39956856      224.18687439
   448        22.47007179      224.89697266       23.46578789      224.68870544
   449        22.52025986      225.15834045       23.47373390      225.19075012
   450        22.57036209      225.57180786       23.55055046      225.69175720
   451        22.62052727      226.24101257       23.55055046      226.19325256
   452        22.67072105      226.80329895       23.54790306      226.69531250
   453        22.72086143      227.20571899       23.55055046      227.19668579
   454        22.77099991      227.76319885       23.55849648      227.69808960
   455        22.82115936      228.12071228       23.68034172      228.19969177
   456        22.87137032      228.75566101       23.71477699      228.70170593
   457        22.92148209      229.29095459       23.95316887      229.20286560
   458        22.97163010      229.69667053       24.01144218      229.70442200
   459        23.02181625      230.04837036       24.20745659      230.20602417
   460        23.07196617      230.66752625       24.26572990      230.70771790
   461        23.12212944      231.36923218       24.32665062      231.20944214
   462        23.17229080      231.76562500       24.36903191      231.71083069
   463        23.22241211      232.21649170       24.38227654      232.21221924
   464        23.27256393      232.60830688       24.42201042      232.71371460
   465        23.32271004      233.12794495       24.43525124      233.21511841
   466        23.37288094      233.61402893       24.39287376      233.71690369
   467        23.42303085      234.17921448       24.47498512      234.21835327
   468        23.47317314      234.88706970       24.60212898      234.71977234
   469        23.52330971      235.26335144       24.66834831      235.22123718
   470        23.57344627      235.77992249       24.84052086      235.72247314
   471        23.62359428      236.30224609       24.97825813      236.22407532
   472        23.67381859      236.82342529       25.10804939      236.72621155
   473        23.72399139      237.27214050       25.20870399      237.22784424
   474        23.77408791      237.60261536       25.16897392      237.72897339
   475        23.82423782      238.05702209       25.26432991      238.23042297
   476        23.87444687      238.81150818       25.26697731      238.73245239
   477        23.92455673      239.14753723       25.24578667      239.23367310
   478        23.97466278      239.73515320       25.25638390      239.73477173
   479        24.02487373      240.21821594       25.32525444      240.23687744
   480        24.07503128      240.85015869       25.42855644      240.73838806
   481        24.12519646      241.26593018       25.52921104      241.24006653
   482        24.17533112      241.85664368       25.61662102      241.74142456
   483        24.22547340      242.30088806       25.75965691      242.24290466
   484        24.27566719      242.75669861       25.93447685      242.74465942
   485        24.32583427      243.37698364       26.04043007      243.24636841
   486        24.37593651      243.61366272       26.12784004      243.74754333
   487        24.42612839      244.07226563       26.10135460      244.24929810
   488        24.47629166      244.81094360       26.14903069      244.75100708
   489        24.52641106      245.16615295       26.12784004      245.25216675
   490        24.57660675      245.66546631       26.08281136      245.75416565
   491        24.62671089      246.19664001       26.11724663      246.25526428
   492        24.67688942      246.68203735       26.18611336      246.75706482
   493        24.72703171      247.31875610       26.26292992      247.25828552
   494        24.77726936      247.69924927       26.42185783      247.76084900
   495        24.82741737      248.42480469       26.53310966      248.26219177
   496        24.87760544      248.85125732       26.65230370      248.76412964
   497        24.92771912      249.39682007       26.79799080      249.26501465
   498        24.97785759      249.77336121       26.84831810      249.76646423
