"index" "time.s" "TC1" "dl.um" "T.n" "dl.pct"
4746 117.00061035 300.14208984 23.75451088 300 0.0741401672
4747 117.90002441 299.85751343 23.79424095 300 0.0745374679
4748 118.80065918 300.13562012 23.84192085 300 0.0750142669
4749 119.70031738 299.96777344 23.83926964 300 0.0749877548
4750 120.59997558 300.00106812 23.88165092 300 0.0754115676
4751 121.50061035 299.81051636 23.99820137 300 0.0765770721
4752 122.40051269 300.03182983 24.00614738 300 0.0766565322
4753 123.29992675 299.93533325 24.03528404 300 0.0769478988
4754 124.20080566 300.05938721 24.10680199 300 0.0776630783
4755 125.10046386 299.85183716 24.17566872 300 0.0783517456
4756 125.99987793 300.09347534 24.21805 300 0.0787755584
4757 126.90075683 299.92562866 24.30016518 300 0.0795967102
4758 127.80017089 300.1015625 24.32400322 300 0.0798350906
4759 128.70056152 299.96212769 24.33194923 300 0.0799145507
4760 129.59997558 299.96697998 24.36108589 300 0.0802059173
4761 130.50061035 299.79428101 24.43525124 300 0.0809475708
4762 131.40026855 299.99291992 24.50147438 300 0.0816098022
4763 132.29968261 300.10079956 24.49087715 300 0.0815038299
4764 133.20031738 299.91589355 24.50942039 300 0.0816892623
4765 134.09973144 300.09106445 24.59683037 300 0.0825633621
4766 135.00036621 300.00592041 24.64451027 300 0.0830401611
4767 135.89978027 300.04400635 24.66570091 300 0.0832520675
4768 136.80041503 299.90945435 24.70013237 300 0.0835963821
4769 137.70007324 300.27346802 24.8140316 300 0.0847353744
4770 138.600708 299.99133301 24.79549217 300 0.0845499801
4771 139.50012207 300.15509033 24.82992363 300 0.0848942947
4772 140.40075683 299.99050903 24.88554955 300 0.0854505539
4773 141.30017089 299.8291626 24.95442009 300 0.0861392593
4774 142.1998291 300.0447998 24.97031212 300 0.0862981796
4775 143.10046386 300.03182983 25.03918266 300 0.086986885
4776 144.00012207 299.96212769 25.02858543 300 0.0868809127
4777 144.89978027 299.99133301 25.13718605 300 0.0879669189
4778 145.80041503 299.94995117 25.13189125 300 0.0879139709
4779 146.6998291 300.13967896 25.17162132 300 0.0883112716
4780 147.60046386 299.99700928 25.21135521 300 0.0887086105
4781 148.50012207 300.00997925 25.17426872 300 0.0883377456
4782 149.39978027 300.08621216 25.28287315 300 0.0894237899
4783 150.30041503 299.92404175 25.29081917 300 0.0895032501
4784 151.1998291 299.90539551 25.35173988 300 0.0901124572
4785 152.10046386 299.94104004 25.33584785 300 0.0899535369
4786 153.00012207 300.07403564 25.42325783 300 0.0908276367
4787 153.89978027 299.80001831 25.49477577 300 0.0915428161
4788 154.80017089 299.91430664 25.5106678 300 0.0917017364
4789 155.6998291 299.95162964 25.56894112 300 0.0922844696
4790 156.600708 299.98403931 25.53450966 300 0.091940155
4791 157.49987793 300.0854187 25.59543037 300 0.0925493621
4792 158.40075683 300.09020996 25.68813896 300 0.093476448
4793 159.30041503 300.03433228 25.67224693 300 0.0933175277
4794 160.1998291 299.96133423 25.69873619 300 0.0935824203
4795 161.100708 299.93621826 25.73316765 300 0.0939267349
4796 162.00012207 299.99539185 25.78879356 300 0.094482994
4797 162.90075683 300.05618286 25.82587624 300 0.0948538208
4798 163.80017089 299.97021484 25.84441948 300 0.0950392532
4799 164.70080566 299.94595337 25.91063881 300 0.0957014465
4800 165.60021972 299.86486816 25.93712807 300 0.0959663391
4801 166.50085449 300.10241699 25.96891212 300 0.0962841796
4802 167.40002441 300.16403198 25.99804878 300 0.0965755462
4803 168.29968261 299.94271851 26.01394081 300 0.0967344665
4804 169.20056152 300.02700806 26.0007 300 0.0966020584
4805 170.09973144 299.98727417 26.13313866 300 0.097926445
4806 171.00061035 300.14212036 26.16492653 300 0.0982443237
4807 171.90075683 299.96459961 26.17551994 300 0.0983502578
4808 172.80017089 300.05380249 26.17022133 300 0.0982972717
4809 173.6998291 299.86080933 26.1543293 300 0.0981383514
4810 174.600708 299.97598267 26.2549839 300 0.0991448974
4811 175.50012207 299.94351196 26.28941917 300 0.0994892501
4812 176.40051269 300.10241699 26.3079586 300 0.0996746444
4813 177.30017089 300.29214478 26.3529911 300 0.1001249694
4814 178.20080566 299.86160278 26.35033989 300 0.1000984573
4815 179.10046386 299.95162964 26.44040108 300 0.1009990692
4816 179.99987793 300.03433228 26.46159172 300 0.1012109756
4817 180.90075683 300.00350952 26.54105568 300 0.1020056152
4818 181.80017089 300.09353638 26.51721764 300 0.1017672348
4819 182.70080566 300.04974365 26.59138298 300 0.1025088882
4820 183.60046386 300.09597778 26.63641167 300 0.1029591751
4821 184.50036621 300.07165527 26.62051964 300 0.1028002548
4822 185.39978027 299.89407349 26.63641167 300 0.1029591751
4823 186.30065918 299.91519165 26.67879295 300 0.1033829879
4824 187.20031738 299.89080811 26.67349434 300 0.1033300018
4825 188.09997558 299.9281311 26.66025352 300 0.1031975936
4826 189.00061035 300.08053589 26.78474617 300 0.1044425201
4827 189.90026855 300.08621216 26.77150154 300 0.1043100738
4828 190.79968261 299.94189453 26.81653023 300 0.1047603607
4829 191.70031738 300.07568359 26.81918144 300 0.1047868728
4830 192.59973144 299.99380493 26.8509655 300 0.1051047134
4831 193.50012207 300.07241821 26.9012928 300 0.1056079864
