Depth	Intensity	IntensityABS
200.912553	0.000000	0.000000
201.338215	0.000000	0.000000
201.763878	0.000000	0.000000
202.189540	0.000000	0.000000
202.615202	0.000000	0.000000
203.040864	0.000000	0.000000
203.466526	0.000000	0.000000
203.892188	0.000000	0.000000
204.317851	0.000000	0.000000
204.743513	0.000000	0.000000
205.169175	0.000000	0.000000
205.594837	0.000000	0.000000
206.020499	0.000000	0.000000
206.446162	0.000000	0.000000
206.871824	0.000000	0.000000
207.297486	0.000000	0.000000
207.723148	0.000000	0.000000
208.148810	0.000000	0.000000
208.574473	0.000000	0.000000
209.000135	0.000000	0.000000
209.425797	0.000000	0.000000
209.851459	0.000000	0.000000
210.277121	0.000000	0.000000
210.702784	0.000000	0.000000
211.128446	0.000000	0.000000
211.554108	0.000000	0.000000
211.979770	0.000000	0.000000
212.405432	0.000000	0.000000
